src_ip,dst_ip,port,total_time_sec,ratio_down_up_bytes,num_connections,total_up_bytes,total_down_bytes,max_connections_5min,flag_high_connections,country_code,organization
192.168.108.208,104.153.113.125,443,0.0,9.506,1,8209,78035,1,False,US,AS16509 AMAZON-02
192.168.108.208,104.17.45.30,443,2194639.0,8.561,33,349070,2988516,4,False,,AS13335 CLOUDFLARENET
192.168.108.208,104.212.67.116,443,92.0,6.383,2,15020,95870,1,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,104.212.68.229,443,0.0,6.741,1,10079,67945,1,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,104.22.47.238,443,1155426.0,8.62,15,168020,1448355,3,False,,AS13335 CLOUDFLARENET
192.168.108.208,104.244.42.193,443,2861884.0,8.633,159,1725428,14896121,5,True,US,AS13414 TWITTER
192.168.108.208,104.26.3.6,443,2470654.0,8.828,55,611530,5398759,5,False,,AS13335 CLOUDFLARENET
192.168.108.208,104.26.9.83,443,1290933.0,4.935,3,45392,224016,2,False,,AS13335 CLOUDFLARENET
192.168.108.208,108.157.98.113,443,1831606.0,8.213,20,226195,1857780,2,False,US,AS16509 AMAZON-02
192.168.108.208,108.157.98.51,443,1145550.0,8.257,16,160327,1323763,5,False,US,AS16509 AMAZON-02
192.168.108.208,109.74.195.79,443,0.0,6.972,1,15517,108190,1,False,GB,AS63949 Akamai Connected Cloud
192.168.108.208,109.74.197.36,443,476.0,7.506,5,69321,520290,3,False,GB,AS63949 Akamai Connected Cloud
192.168.108.208,129.148.207.167,443,919.0,8.729,10,93016,811942,3,False,GB,AS31898 ORACLE-BMC-31898
192.168.108.208,129.213.0.246,443,427.0,8.815,5,50009,440817,3,False,US,AS31898 ORACLE-BMC-31898
192.168.108.208,129.213.4.182,443,112.0,8.028,2,18270,146673,2,False,US,AS31898 ORACLE-BMC-31898
192.168.108.208,13.104.129.218,443,378.0,7.175,4,53497,383861,2,False,KR,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.105.116.57,443,0.0,9.608,1,5085,48858,1,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.15.249,443,89.0,7.555,2,40880,308842,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.234.120,443,240.0,9.696,4,36469,353605,2,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.237.42,443,1557228.0,8.095,17,153005,1238560,4,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.3.95,443,0.0,8.299,1,4176,34657,1,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.37.36,443,0.0,6.159,1,11000,67744,1,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.38.175,443,973.0,8.044,9,94112,757008,3,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.13,443,1684.0,27.495,3,42062,1156509,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.14,443,2329355.0,8.442,30,299370,2527383,5,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.16,443,1996.0,44.258,3,53066,2348591,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.30,443,2111.0,49.95,3,42230,2109396,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.35,443,1951.0,36.526,3,27092,989551,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.40,443,1710.0,46.607,3,49089,2287914,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.43,443,1935.0,20.523,3,53578,1099602,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.44,443,2189.0,38.591,3,40364,1557706,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.45,443,2204.0,31.685,3,35056,1110748,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.46,443,2343.0,47.801,3,45694,2184224,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.5,443,2298.0,41.592,3,42514,1768225,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.42.56,443,1563.0,36.312,3,42657,1548966,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.50.58,443,0.0,8.932,1,34729,310188,1,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.54.123,443,113.0,6.599,2,19613,129431,1,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.107.6.127,443,359.0,7.306,4,67566,493641,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,13.34.32.7,443,0.0,6.336,1,10380,65767,1,False,US,
192.168.108.208,13.34.40.148,443,261.0,8.372,3,21811,182595,2,False,IE,
192.168.108.208,13.87.126.143,443,1863.0,8.787,19,211887,1861857,4,False,GB,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.208,130.176.255.197,443,0.0,6.369,1,25855,164680,1,False,US,AS16509 AMAZON-02
192.168.108.208,130.35.112.135,443,222.0,8.201,3,31416,257652,3,False,GB,AS31898 ORACLE-BMC-31898
192.168.108.208,132.145.0.244,443,576.0,8.367,7,63700,532981,3,False,GB,AS31898 ORACLE-BMC-31898
192.168.108.208,134.65.51.103,443,100.0,6.614,2,17951,118723,2,False,BR,AS31898 ORACLE-BMC-31898
192.168.108.208,134.70.14.41,443,1338.0,8.326,15,186384,1551873,4,False,US,AS31898 ORACLE-BMC-31898
