src_ip,dst_ip,port,total_time_sec,ratio_down_up_bytes,num_connections,total_up_bytes,total_down_bytes,max_connections_5min,flag_high_connections,country_code,organization
192.168.108.153,103.103.173.55,443,0.0,11.925,1,5635,67200,1,False,MM,AS136465 Dept. of Information Technology & Cyber Security
192.168.108.153,103.25.242.28,443,351.0,8.244,4,45760,377265,2,False,MM,"AS133384 Global Technology Co., Ltd."
192.168.108.153,103.41.214.232,443,0.0,10.115,1,12105,122447,1,False,IN,AS133768 Schneider Electric India Pvt Ltd
192.168.108.153,103.76.52.154,443,199.0,7.729,3,40839,315638,2,False,RU,
192.168.108.153,103.77.72.183,443,442.0,8.125,5,49629,403229,2,False,CN,"AS63631 Guangdong Cloudbase Technology Co., Ltd."
192.168.108.153,103.96.228.80,443,306.0,9.104,3,28532,259762,2,False,IN,AS136683 Bqe Kashmir
192.168.108.153,109.106.147.207,443,0.0,11.638,1,9360,108935,1,False,RU,AS43727 Jsc Kvant-telekom
192.168.108.153,109.237.105.220,443,130.0,5.924,2,20094,119036,2,False,RU,AS49469 LLC Melt-internet
192.168.108.153,109.95.194.118,443,0.0,12.589,1,10065,126707,1,False,RU,AS50442 Nemerov Evgeniy Vladimirovish PE
192.168.108.153,110.75.222.123,443,85.0,8.782,2,22691,199263,1,False,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
192.168.108.153,123.114.187.29,443,129.0,8.032,3,38970,313008,2,False,CN,AS4808 China Unicom Beijing Province Network
192.168.108.153,128.0.30.253,443,474.0,7.445,5,50340,374761,3,False,RU,AS41794 Sibirskie Seti Ltd.
192.168.108.153,140.249.179.167,443,207.0,10.717,2,84067,900972,1,False,CN,"AS58541 Qingdao,266000"
192.168.108.153,141.98.28.180,443,608.0,8.485,7,66731,566209,3,False,RU,AS31214 TIS Dialog LLC
192.168.108.153,146.120.109.116,443,0.0,10.489,1,4465,46832,1,False,RU,AS59525 Siberian generating company Limited liability company
192.168.108.153,149.154.67.98,443,0.0,6.067,1,11596,70350,1,False,RU,AS29182 JSC IOT
192.168.108.153,163.171.153.146,443,313.0,7.27,4,66641,484462,2,False,,AS204720 Global Cloud Network LLC
192.168.108.153,165.225.90.22,443,228.0,6.922,3,32744,226638,2,False,RU,AS62044 Zscaler Switzerland GmbH
192.168.108.153,17.81.171.153,443,380.0,8.376,4,36538,306054,2,False,CN,AS714 APPLE-ENGINEERING
192.168.108.153,17.81.77.20,443,0.0,5.657,1,10952,61950,1,False,CN,AS714 APPLE-ENGINEERING
192.168.108.153,17.87.154.37,443,235.0,9.963,3,30616,305032,2,False,CN,AS714 APPLE-ENGINEERING
192.168.108.153,17.93.11.124,443,436.0,9.0,5,40696,366265,3,False,CN,AS714 APPLE-ENGINEERING
192.168.108.153,172.107.8.167,443,205.0,7.475,3,54086,404305,3,False,RU,AS40676 AS40676
192.168.108.153,172.94.10.192,443,104.0,7.499,2,22171,166255,2,False,RU,AS50867 Hostkey B.v.
192.168.108.153,175.178.18.22,443,277.0,7.132,3,36957,263592,2,False,CN,AS45090 Shenzhen Tencent Computer Systems Company Limited
192.168.108.153,176.112.189.208,443,85.0,9.206,2,27713,255127,1,False,SK,AS58044 free-zona s.r.o.
192.168.108.153,176.119.179.78,443,207.0,7.549,3,36504,275567,3,False,RU,AS58285 Atri Ltd.
192.168.108.153,176.120.86.138,443,223.0,8.144,4,46275,376848,3,False,RU,AS34300 Internet-Cosmos LLC
192.168.108.153,176.123.194.119,443,249.0,8.016,3,49735,398686,2,False,RU,AS59515 Inter.Com Ltd
192.168.108.153,176.65.62.56,443,0.0,8.892,1,3584,31870,1,False,RU,AS49814 TomGate LLC
192.168.108.153,182.255.60.193,443,361.0,8.228,5,70727,581912,3,False,CN,AS132325 LEMON TELECOMMUNICATIONS LIMITED
192.168.108.153,185.1.67.247,443,0.0,9.581,1,21028,201475,1,False,RU,
192.168.108.153,185.102.8.223,443,0.0,11.441,1,4409,50443,1,False,RU,AS8492 OBIT Ltd.
192.168.108.153,185.105.224.3,443,136.0,6.056,3,41065,248677,2,False,RU,AS200487 OOO VPS
192.168.108.153,185.108.4.34,443,0.0,6.343,1,19578,124179,1,False,RU,AS56534 Comfortel Ltd.
192.168.108.153,185.119.3.135,443,247.0,7.864,3,29613,232872,3,False,RU,AS8492 OBIT Ltd.
192.168.108.153,185.124.14.49,443,48.0,9.685,3,25830,250174,3,False,RU,AS49371 Shark Telecom LLC
192.168.108.153,185.13.34.105,443,107.0,5.684,2,21986,124972,1,False,RU,AS201247 MR Group JSC
192.168.108.153,185.151.240.229,443,235.0,8.3,3,22549,187149,2,False,RU,AS49505 OOO Network of data-centers Selectel
192.168.108.153,185.176.208.16,443,205.0,8.096,3,23108,187077,3,False,LB,AS48847 Waves S.a.l
192.168.108.153,185.178.45.155,443,184.0,8.761,3,29466,258153,2,False,RU,AS9123 TimeWeb Ltd.
192.168.108.153,185.188.193.86,443,158.0,11.976,2,21460,257005,1,False,GE,AS39248 Artem Zubkov
192.168.108.153,185.200.170.218,443,0.0,8.329,1,7195,59930,1,False,RU,AS45027 LLC Internet Tehnologii
