src_ip,dst_ip,port,total_time_sec,ratio_down_up_bytes,num_connections,total_up_bytes,total_down_bytes,max_connections_5min,flag_high_connections,country_code,organization
192.168.108.100,104.17.45.30,443,196331.0,8.761,7,86335,756378,2,False,,AS13335 CLOUDFLARENET
192.168.108.100,104.22.47.238,443,404.0,9.042,5,43182,390434,3,False,,AS13335 CLOUDFLARENET
192.168.108.100,104.244.42.193,443,117767.0,7.802,14,144636,1128404,3,False,US,AS13414 TWITTER
192.168.108.100,104.26.3.6,443,456261.0,7.212,7,97769,705106,2,False,,AS13335 CLOUDFLARENET
192.168.108.100,104.26.9.83,443,317.0,9.922,4,52638,522285,3,False,,AS13335 CLOUDFLARENET
192.168.108.100,108.157.98.113,443,238.0,9.46,4,42270,399879,2,False,US,AS16509 AMAZON-02
192.168.108.100,13.34.94.19,443,0.0,7.372,1,9599,70766,1,False,US,
192.168.108.100,130.35.112.194,443,200.0,10.54,4,25188,265476,3,False,GB,AS31898 ORACLE-BMC-31898
192.168.108.100,140.204.126.219,443,401.0,9.757,4,28326,276379,3,False,US,AS31898 ORACLE-BMC-31898
192.168.108.100,146.75.90.167,443,0.0,8.872,1,15100,133970,1,False,PT,AS54113 FASTLY
192.168.108.100,147.154.122.72,443,0.0,9.495,1,7854,74577,1,False,US,AS31898 ORACLE-BMC-31898
192.168.108.100,148.69.168.40,443,403112.0,8.787,11,148503,1304962,3,False,PT,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.
192.168.108.100,150.222.100.193,443,870.0,9.084,11,152872,1388630,3,False,US,
192.168.108.100,157.240.212.174,443,486054.0,8.233,68,777094,6397723,4,False,PT,AS32934 FACEBOOK
192.168.108.100,157.240.212.35,443,452910.0,8.006,45,511536,4095507,5,False,PT,AS32934 FACEBOOK
192.168.108.100,157.240.212.60,443,450592.0,8.444,52,628173,5304207,4,False,PT,AS32934 FACEBOOK
192.168.108.100,162.243.186.184,443,164.0,9.614,4,40147,385980,4,False,US,AS14061 DIGITALOCEAN-ASN
192.168.108.100,169.155.150.175,443,150.0,10.822,2,32444,351114,1,False,US,AS31898 ORACLE-BMC-31898
192.168.108.100,173.230.156.180,443,0.0,7.653,1,11871,90853,1,False,US,AS63949 Akamai Connected Cloud
192.168.108.100,178.79.168.5,443,675.0,9.788,8,105748,1035021,4,False,GB,AS63949 Akamai Connected Cloud
192.168.108.100,18.154.22.25,443,0.0,5.544,1,6186,34293,1,False,US,AS16509 AMAZON-02
192.168.108.100,18.154.48.124,443,341569.0,8.428,17,190224,1603262,4,False,US,AS16509 AMAZON-02
192.168.108.100,18.67.242.41,443,402.0,9.192,5,66402,610390,4,False,US,AS16509 AMAZON-02
192.168.108.100,185.15.58.224,443,517376.0,8.743,71,784848,6862158,5,False,US,AS14907 WIKIMEDIA
192.168.108.100,185.3.94.165,443,0.0,8.598,1,8751,75237,1,False,GB,AS63949 Akamai Connected Cloud
192.168.108.100,185.88.181.4,443,403539.0,8.852,17,208083,1841904,3,False,NL,AS46652 SERVERSTACK-ASN
192.168.108.100,186.192.81.5,443,1072.0,8.533,12,120085,1024700,5,False,BR,AS28604 Globo Comunicacao e Participacoes SA
192.168.108.100,192.168.108.226,53,540733.0,2.295,76,15448,35447,5,False,,
192.168.108.100,192.168.108.234,53,536500.0,2.294,69,14712,33743,6,False,,
192.168.108.100,192.168.108.240,443,526714.0,8.384,273,3036315,25456298,5,True,,
192.168.108.100,192.29.134.171,443,985.0,8.602,12,104877,902107,4,False,BR,AS31898 ORACLE-BMC-31898
192.168.108.100,193.126.232.45,443,391150.0,9.596,11,109105,1046918,2,False,PT,"AS2860 Nos Comunicacoes, S.A."
192.168.108.100,193.126.240.146,443,406573.0,8.98,18,198273,1780399,3,False,PT,"AS2860 Nos Comunicacoes, S.A."
