src_ip,dst_ip,port,total_time_sec,ratio_down_up_bytes,num_connections,total_up_bytes,total_down_bytes,max_connections_5min,flag_high_connections,country_code,organization
192.168.108.100,104.17.45.30,443,196331.0,8.761,7,86335,756378,2,False,NA,AS13335 CLOUDFLARENET
192.168.108.100,104.212.68.253,443,0.0,6.638,1,8286,55006,1,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,104.22.47.238,443,404.0,9.042,5,43182,390434,3,False,NA,AS13335 CLOUDFLARENET
192.168.108.100,104.244.42.193,443,117767.0,7.802,14,144636,1128404,3,False,US,AS13414 TWITTER
192.168.108.100,104.26.3.6,443,456261.0,7.212,7,97769,705106,2,False,NA,AS13335 CLOUDFLARENET
192.168.108.100,104.26.9.83,443,317.0,9.922,4,52638,522285,3,False,NA,AS13335 CLOUDFLARENET
192.168.108.100,108.157.98.113,443,238.0,9.460,4,42270,399879,2,False,US,AS16509 AMAZON-02
192.168.108.100,13.107.42.14,443,99976.0,7.304,6,58433,426781,3,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,13.107.42.19,443,2095.0,17.863,3,26498,473330,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,13.107.42.30,443,1810.0,33.138,3,43143,1429683,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,13.107.42.58,443,1539.0,30.507,3,28616,872978,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,13.34.94.19,443,0.0,7.372,1,9599,70766,1,False,US,
192.168.108.100,130.35.112.194,443,200.0,10.540,4,25188,265476,3,False,GB,AS31898 ORACLE-BMC-31898
192.168.108.100,140.204.126.219,443,401.0,9.757,4,28326,276379,3,False,US,AS31898 ORACLE-BMC-31898
192.168.108.100,142.250.184.172,443,1897.0,59.742,3,31344,1872555,1,False,US,AS15169 GOOGLE
192.168.108.100,142.250.184.217,443,2049.0,47.427,3,44633,2116810,2,False,US,AS15169 GOOGLE
192.168.108.100,142.250.200.68,443,517591.0,8.994,72,857169,7709410,5,False,US,AS15169 GOOGLE
192.168.108.100,146.75.90.167,443,0.0,8.872,1,15100,133970,1,False,PT,AS54113 FASTLY
192.168.108.100,147.154.122.72,443,0.0,9.495,1,7854,74577,1,False,US,AS31898 ORACLE-BMC-31898
192.168.108.100,148.69.168.40,443,403112.0,8.787,11,148503,1304962,3,False,PT,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.
192.168.108.100,150.222.100.193,443,870.0,9.084,11,152872,1388630,3,False,US,
192.168.108.100,157.240.212.174,443,486054.0,8.233,68,777094,6397723,4,False,PT,AS32934 FACEBOOK
192.168.108.100,157.240.212.35,443,452910.0,8.006,45,511536,4095507,5,False,PT,AS32934 FACEBOOK
192.168.108.100,157.240.212.60,443,450592.0,8.444,52,628173,5304207,4,False,PT,AS32934 FACEBOOK
192.168.108.100,157.55.110.229,443,268.0,10.423,4,49098,511737,2,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,162.243.186.184,443,164.0,9.614,4,40147,385980,4,False,US,AS14061 DIGITALOCEAN-ASN
192.168.108.100,169.155.150.175,443,150.0,10.822,2,32444,351114,1,False,US,AS31898 ORACLE-BMC-31898
192.168.108.100,172.217.17.14,443,521067.0,8.675,57,668021,5795255,5,False,US,AS15169 GOOGLE
192.168.108.100,173.230.156.180,443,0.0,7.653,1,11871,90853,1,False,US,AS63949 Akamai Connected Cloud
192.168.108.100,178.79.168.5,443,675.0,9.788,8,105748,1035021,4,False,GB,AS63949 Akamai Connected Cloud
192.168.108.100,18.154.22.25,443,0.0,5.544,1,6186,34293,1,False,US,AS16509 AMAZON-02
192.168.108.100,18.154.48.124,443,341569.0,8.428,17,190224,1603262,4,False,US,AS16509 AMAZON-02
192.168.108.100,18.67.242.41,443,402.0,9.192,5,66402,610390,4,False,US,AS16509 AMAZON-02
192.168.108.100,185.15.58.224,443,517376.0,8.743,71,784848,6862158,5,False,US,AS14907 WIKIMEDIA
192.168.108.100,185.3.94.165,443,0.0,8.598,1,8751,75237,1,False,GB,AS63949 Akamai Connected Cloud
192.168.108.100,185.88.181.4,443,403539.0,8.852,17,208083,1841904,3,False,NL,AS46652 SERVERSTACK-ASN
192.168.108.100,186.192.81.5,443,1072.0,8.533,12,120085,1024700,5,False,BR,AS28604 Globo Comunicacao e Participacoes SA
192.168.108.100,192.168.108.226,53,540733.0,2.295,76,15448,35447,5,False,,
192.168.108.100,192.168.108.234,53,536500.0,2.294,69,14712,33743,6,False,,
192.168.108.100,192.168.108.240,443,526714.0,8.384,273,3036315,25456298,5,True,,
192.168.108.100,192.29.134.171,443,985.0,8.602,12,104877,902107,4,False,BR,AS31898 ORACLE-BMC-31898
192.168.108.100,193.126.232.45,443,391150.0,9.596,11,109105,1046918,2,False,PT,"AS2860 Nos Comunicacoes, S.A."
192.168.108.100,193.126.240.146,443,406573.0,8.980,18,198273,1780399,3,False,PT,"AS2860 Nos Comunicacoes, S.A."
192.168.108.100,193.137.20.123,443,368853.0,7.856,35,367882,2889915,3,False,PT,"AS1930 Fundacao para a Ciencia e a Tecnologia, I.P."
192.168.108.100,198.54.117.212,443,384953.0,9.869,6,53491,527887,3,False,US,AS22612 NAMECHEAP-NET
192.168.108.100,20.143.38.117,443,288.0,8.658,4,62806,543746,2,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,204.79.197.212,443,391350.0,9.150,36,377956,3458196,4,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,213.13.146.142,443,523113.0,8.715,87,977413,8518307,4,False,PT,AS3243 Servicos De Comunicacoes E Multimedia S.A.
192.168.108.100,216.58.215.131,443,485067.0,8.959,20,227679,2039775,3,False,US,AS15169 GOOGLE
192.168.108.100,40.79.9.34,443,1198.0,9.136,14,174446,1593715,4,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,45.60.74.62,443,648.0,8.558,7,138305,1183562,4,False,US,AS19551 INCAPSULA
192.168.108.100,51.141.138.9,443,192.0,8.141,2,22813,185724,1,False,GB,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,51.143.201.231,443,1438.0,8.572,14,182352,1563162,4,False,GB,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,52.144.194.234,443,82.0,6.370,2,26839,170959,2,False,US,
192.168.108.100,54.192.95.95,443,18136.0,9.408,3,24539,230860,1,False,US,AS16509 AMAZON-02
192.168.108.100,62.28.254.212,443,234596.0,7.552,11,180460,1362806,3,False,PT,AS15525 Servicos De Comunicacoes E Multimedia S.A.
192.168.108.100,62.28.254.215,443,348311.0,7.148,12,159212,1138101,4,False,PT,AS15525 Servicos De Comunicacoes E Multimedia S.A.
192.168.108.100,88.157.217.145,443,448922.0,8.472,30,302086,2559250,3,False,PT,"AS2860 Nos Comunicacoes, S.A."
192.168.108.100,88.157.217.146,443,352772.0,9.202,18,225585,2075806,3,False,PT,"AS2860 Nos Comunicacoes, S.A."
192.168.108.100,88.157.217.148,443,174.0,8.213,2,21502,176602,2,False,PT,"AS2860 Nos Comunicacoes, S.A."
192.168.108.101,104.153.112.27,443,853.0,8.478,9,125176,1061215,4,False,US,AS16509 AMAZON-02
192.168.108.101,104.17.45.30,443,1808807.0,8.266,16,138296,1143116,3,False,NA,AS13335 CLOUDFLARENET
192.168.108.101,104.22.47.238,443,1619756.0,10.047,3,35387,355529,2,False,NA,AS13335 CLOUDFLARENET
192.168.108.101,104.244.42.193,443,2347292.0,8.610,180,1943224,16731717,5,True,US,AS13414 TWITTER
192.168.108.101,104.26.3.6,443,2191912.0,8.306,17,180406,1498520,4,False,NA,AS13335 CLOUDFLARENET
192.168.108.101,104.26.9.83,443,511213.0,8.603,20,189849,1633242,4,False,NA,AS13335 CLOUDFLARENET
192.168.108.101,104.83.180.153,443,0.0,10.954,1,24835,272054,1,False,ES,AS16625 AKAMAI-AS
192.168.108.101,108.157.98.113,443,712793.0,8.729,8,97428,850439,3,False,US,AS16509 AMAZON-02
192.168.108.101,108.157.98.51,443,0.0,10.196,1,11013,112294,1,False,US,AS16509 AMAZON-02
192.168.108.101,129.146.13.205,443,0.0,6.659,1,7586,50518,1,False,US,AS31898 ORACLE-BMC-31898
192.168.108.101,129.149.57.137,443,209.0,8.177,4,32552,266185,3,False,US,AS31898 ORACLE-BMC-31898
192.168.108.101,13.104.193.182,443,184.0,9.681,3,34927,338142,2,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.105.108.118,443,0.0,12.412,1,5431,67412,1,False,IT,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.21.121,443,0.0,6.909,1,4484,30979,1,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.237.42,443,1842348.0,9.227,30,325944,3007341,3,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.253.154,443,388.0,9.715,4,50838,493882,2,False,US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.40.236,443,125.0,7.765,2,33127,257237,1,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.42.14,443,1835427.0,9.416,27,256401,2414250,4,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.42.27,443,2017.0,40.187,3,26879,1080197,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.42.34,443,1839.0,56.272,3,63171,3554780,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.42.37,443,1871.0,43.223,3,44668,1930696,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.42.40,443,1762.0,40.725,3,40174,1636084,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.42.45,443,1958.0,19.912,3,46658,929077,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.42.46,443,1902.0,42.854,3,31679,1357570,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
