src_ip,dst_ip,port,ratio_down_up_bytes,num_connections
192.168.108.100,192.168.108.240,443,8.384,273
192.168.108.101,192.168.108.240,443,8.422,712
192.168.108.102,192.168.108.240,443,8.415,623
192.168.108.103,192.168.108.240,443,8.477,836
192.168.108.104,192.168.108.240,443,8.626,959
192.168.108.105,192.168.108.240,443,8.662,145
192.168.108.106,192.168.108.240,443,8.463,617
192.168.108.107,192.168.108.240,443,8.231,372
192.168.108.108,192.168.108.240,443,8.37,594
192.168.108.109,192.168.108.240,443,8.486,811
192.168.108.11,192.168.108.240,443,8.587,1112
192.168.108.110,192.168.108.240,443,8.608,629
192.168.108.111,192.168.108.240,443,8.395,1475
192.168.108.112,192.168.108.240,443,8.612,1198
192.168.108.113,192.168.108.240,443,8.405,785
192.168.108.114,192.168.108.240,443,8.566,585
192.168.108.115,192.168.108.240,443,8.38,385
192.168.108.116,192.168.108.240,443,8.51,1174
192.168.108.118,192.168.108.240,443,8.427,1181
192.168.108.119,192.168.108.240,443,8.64,261
192.168.108.12,192.168.108.240,443,8.462,864
192.168.108.120,192.168.108.240,443,8.442,976
192.168.108.121,192.168.108.240,443,8.485,1010
192.168.108.122,192.168.108.240,443,8.492,909
192.168.108.123,192.168.108.240,443,8.408,351
192.168.108.124,192.168.108.240,443,8.664,557
192.168.108.125,192.168.108.240,443,8.483,106
192.168.108.126,192.168.108.240,443,8.537,489
192.168.108.127,192.168.108.240,443,8.794,356
192.168.108.128,192.168.108.240,443,8.406,907
192.168.108.129,192.168.108.240,443,8.568,291
192.168.108.13,192.168.108.240,443,8.507,1508
192.168.108.130,192.168.108.240,443,8.562,391
192.168.108.131,192.168.108.240,443,8.501,361
192.168.108.132,192.168.108.240,443,8.416,403
192.168.108.133,192.168.108.240,443,8.39,1011
192.168.108.134,192.168.108.240,443,8.339,1157
192.168.108.135,192.168.108.240,443,8.553,1099
192.168.108.136,192.168.108.240,443,8.409,1535
192.168.108.137,192.168.108.240,443,8.464,596
192.168.108.138,192.168.108.240,443,8.452,843
192.168.108.139,192.168.108.240,443,8.479,725
192.168.108.14,192.168.108.240,443,8.661,768
192.168.108.140,192.168.108.240,443,8.476,1498
192.168.108.141,192.168.108.240,443,8.471,1042
192.168.108.142,192.168.108.240,443,8.311,188
192.168.108.143,192.168.108.240,443,8.444,956
192.168.108.144,192.168.108.240,443,8.507,848
192.168.108.145,192.168.108.240,443,8.523,1073
192.168.108.146,192.168.108.240,443,8.441,1779
192.168.108.147,192.168.108.240,443,8.456,334
192.168.108.148,192.168.108.240,443,8.504,1367
192.168.108.149,192.168.108.240,443,8.582,437
192.168.108.15,192.168.108.240,443,8.443,738
192.168.108.150,192.168.108.240,443,8.536,143
192.168.108.151,192.168.108.240,443,8.29,466
192.168.108.152,192.168.108.240,443,8.625,1374
192.168.108.153,192.168.108.240,443,8.522,880
192.168.108.154,192.168.108.240,443,8.437,1072
192.168.108.155,192.168.108.240,443,8.424,551
192.168.108.156,192.168.108.240,443,8.57,649
192.168.108.157,192.168.108.240,443,8.501,1051
192.168.108.158,192.168.108.240,443,8.48,1199
192.168.108.159,192.168.108.240,443,8.427,1053
192.168.108.16,192.168.108.240,443,8.527,409
192.168.108.160,192.168.108.240,443,8.425,1446
192.168.108.161,192.168.108.240,443,8.647,810
192.168.108.162,192.168.108.240,443,8.443,392
192.168.108.163,192.168.108.240,443,8.602,88
192.168.108.164,192.168.108.240,443,8.498,401
192.168.108.165,192.168.108.240,443,8.454,382
192.168.108.166,192.168.108.240,443,8.476,586
192.168.108.167,192.168.108.240,443,8.472,883
192.168.108.168,192.168.108.240,443,8.535,231
192.168.108.169,192.168.108.240,443,8.484,1076
192.168.108.17,192.168.108.240,443,8.519,1344
192.168.108.170,192.168.108.240,443,8.533,416
192.168.108.171,192.168.108.240,443,8.505,1049
192.168.108.172,192.168.108.240,443,8.538,1253
192.168.108.173,192.168.108.240,443,8.5,1037
192.168.108.174,192.168.108.240,443,8.523,1226
192.168.108.175,192.168.108.240,443,8.612,897
192.168.108.176,192.168.108.240,443,8.553,611
192.168.108.177,192.168.108.240,443,8.422,470
192.168.108.178,192.168.108.240,443,8.635,1153
192.168.108.179,192.168.108.240,443,8.579,803
192.168.108.18,192.168.108.240,443,8.317,737
192.168.108.180,192.168.108.240,443,8.285,106
192.168.108.181,192.168.108.240,443,8.545,636
192.168.108.182,192.168.108.240,443,8.557,1040
192.168.108.183,192.168.108.240,443,8.698,926
192.168.108.184,192.168.108.240,443,8.609,1189
192.168.108.185,192.168.108.240,443,8.555,630
192.168.108.186,192.168.108.240,443,8.55,1153
192.168.108.187,192.168.108.240,443,8.575,1118
192.168.108.188,192.168.108.240,443,8.41,599
192.168.108.189,192.168.108.240,443,8.54,648
192.168.108.19,192.168.108.240,443,8.366,941
192.168.108.190,192.168.108.240,443,8.603,753
192.168.108.191,192.168.108.240,443,8.538,1401
192.168.108.192,192.168.108.240,443,8.789,527
192.168.108.193,192.168.108.240,443,8.623,538
192.168.108.194,192.168.108.240,443,8.603,738
192.168.108.195,192.168.108.240,443,8.476,2007
192.168.108.196,192.168.108.240,443,8.551,831
192.168.108.197,192.168.108.240,443,8.839,759
192.168.108.198,192.168.108.240,443,8.504,330
192.168.108.199,192.168.108.240,443,8.577,578
192.168.108.20,192.168.108.240,443,8.328,189
192.168.108.200,192.168.108.240,443,8.447,865
192.168.108.201,192.168.108.240,443,8.495,39
192.168.108.202,192.168.108.240,443,8.397,1192
192.168.108.203,192.168.108.240,443,8.527,746
192.168.108.204,192.168.108.240,443,8.36,1028
192.168.108.205,192.168.108.240,443,8.5,1181
192.168.108.206,192.168.108.240,443,8.409,460
192.168.108.207,192.168.108.240,443,8.493,755
192.168.108.209,192.168.108.240,443,8.429,1359
192.168.108.21,192.168.108.240,443,8.292,1454
192.168.108.210,192.168.108.240,443,8.492,1025
192.168.108.22,192.168.108.240,443,8.559,923
192.168.108.23,192.168.108.240,443,8.409,615
192.168.108.24,192.168.108.240,443,8.561,744
192.168.108.25,192.168.108.240,443,8.62,1157
192.168.108.26,192.168.108.240,443,8.6,796
192.168.108.27,192.168.108.240,443,8.395,545
192.168.108.28,192.168.108.240,443,8.334,234
192.168.108.29,192.168.108.240,443,8.499,801
192.168.108.30,192.168.108.240,443,8.392,1174
192.168.108.31,192.168.108.240,443,8.55,1163
192.168.108.32,192.168.108.240,443,8.502,643
192.168.108.33,192.168.108.240,443,8.254,594
192.168.108.34,192.168.108.240,443,8.43,494
192.168.108.35,192.168.108.240,443,8.637,587
192.168.108.36,192.168.108.240,443,8.597,594
192.168.108.37,192.168.108.240,443,8.498,1226
192.168.108.38,192.168.108.240,443,8.387,412
192.168.108.39,192.168.108.240,443,8.499,1232
192.168.108.40,192.168.108.240,443,8.397,1004
192.168.108.41,192.168.108.240,443,8.495,1524
192.168.108.42,192.168.108.240,443,8.535,684
192.168.108.43,192.168.108.240,443,8.488,627
192.168.108.44,192.168.108.240,443,8.489,783
192.168.108.45,192.168.108.240,443,8.454,1059
192.168.108.46,192.168.108.240,443,8.508,392
192.168.108.47,192.168.108.240,443,8.391,996
192.168.108.48,192.168.108.240,443,8.437,782
192.168.108.49,192.168.108.240,443,8.443,996
192.168.108.50,192.168.108.240,443,8.436,1238
192.168.108.51,192.168.108.240,443,8.617,542
192.168.108.52,192.168.108.240,443,8.509,491
192.168.108.53,192.168.108.240,443,8.476,2057
192.168.108.54,192.168.108.240,443,8.473,434
192.168.108.55,192.168.108.240,443,8.634,791
192.168.108.56,192.168.108.240,443,8.551,941
192.168.108.57,192.168.108.240,443,8.327,451
192.168.108.58,192.168.108.240,443,8.606,550
192.168.108.59,192.168.108.240,443,8.598,1648
192.168.108.60,192.168.108.240,443,8.488,1707
192.168.108.61,192.168.108.240,443,8.463,140
192.168.108.62,192.168.108.240,443,8.364,641
192.168.108.64,192.168.108.240,443,8.492,479
192.168.108.65,192.168.108.240,443,8.524,980
192.168.108.66,192.168.108.240,443,8.49,709
192.168.108.67,192.168.108.240,443,8.483,1093
192.168.108.68,192.168.108.240,443,8.53,548
192.168.108.69,192.168.108.240,443,8.563,527
192.168.108.70,192.168.108.240,443,8.353,627
192.168.108.72,192.168.108.240,443,8.494,784
192.168.108.73,192.168.108.240,443,8.483,802
192.168.108.74,192.168.108.240,443,8.591,445
192.168.108.75,192.168.108.240,443,8.436,820
192.168.108.76,192.168.108.240,443,8.468,1397
192.168.108.77,192.168.108.240,443,8.683,391
192.168.108.78,192.168.108.240,443,8.342,941
192.168.108.79,192.168.108.240,443,8.494,744
192.168.108.80,192.168.108.240,443,8.627,388
192.168.108.81,192.168.108.240,443,8.411,1507
192.168.108.82,192.168.108.240,443,8.564,432
192.168.108.83,192.168.108.240,443,8.39,1260
192.168.108.84,192.168.108.240,443,8.413,1343
192.168.108.85,192.168.108.240,443,8.697,257
192.168.108.86,192.168.108.240,443,8.502,550
192.168.108.88,192.168.108.240,443,8.472,1749
192.168.108.89,192.168.108.240,443,8.22,76
192.168.108.90,192.168.108.240,443,8.561,852
192.168.108.91,192.168.108.240,443,8.514,226
192.168.108.92,192.168.108.240,443,8.613,491
192.168.108.93,192.168.108.240,443,8.505,731
192.168.108.94,192.168.108.240,443,8.413,679
192.168.108.95,192.168.108.240,443,8.413,730
192.168.108.96,192.168.108.240,443,8.65,588
192.168.108.97,192.168.108.240,443,8.669,1269
192.168.108.98,192.168.108.240,443,8.637,662
192.168.108.99,192.168.108.240,443,8.584,1381
