src_ip,mean_ratio,std_ratio
192.168.108.100,8.531,1.635
192.168.108.101,8.451,1.529
192.168.108.102,8.594,1.486
192.168.108.103,8.616,1.604
192.168.108.104,8.577,1.624
192.168.108.105,8.458,1.540
192.168.108.106,8.424,1.806
192.168.108.107,8.231,1.897
192.168.108.108,8.422,1.743
192.168.108.109,8.564,1.481
192.168.108.11,8.424,1.484
192.168.108.110,8.158,1.939
192.168.108.111,8.293,1.415
192.168.108.112,8.335,1.594
192.168.108.113,8.212,1.464
192.168.108.114,8.394,1.595
192.168.108.115,8.614,1.391
192.168.108.116,8.269,1.516
192.168.108.117,8.272,1.886
192.168.108.118,8.464,1.581
192.168.108.119,8.513,1.537
192.168.108.12,8.191,1.505
192.168.108.120,8.332,1.517
192.168.108.121,8.513,1.587
192.168.108.122,8.327,1.343
192.168.108.124,8.495,1.547
192.168.108.125,8.455,1.763
192.168.108.126,8.424,1.453
192.168.108.127,7.470,2.663
192.168.108.128,8.542,1.546
192.168.108.129,8.593,1.618
192.168.108.13,8.330,1.550
192.168.108.130,8.030,1.616
192.168.108.131,8.175,1.407
192.168.108.132,8.395,1.348
192.168.108.133,8.454,1.474
192.168.108.134,8.545,1.550
192.168.108.135,8.135,1.586
192.168.108.136,8.137,1.909
192.168.108.137,8.622,1.518
192.168.108.138,8.500,1.623
192.168.108.139,8.333,1.390
192.168.108.14,8.353,1.409
192.168.108.141,8.329,1.438
192.168.108.142,8.531,1.555
192.168.108.143,8.547,1.728
192.168.108.144,8.151,1.287
192.168.108.145,8.419,1.588
192.168.108.146,8.457,1.422
192.168.108.147,8.683,1.473
192.168.108.148,8.549,1.686
192.168.108.149,8.451,1.338
192.168.108.15,8.733,1.728
192.168.108.150,8.426,1.648
192.168.108.151,8.163,1.395
192.168.108.152,8.660,1.538
192.168.108.153,8.762,1.753
192.168.108.154,8.327,1.427
192.168.108.155,8.292,1.427
192.168.108.156,8.443,1.514
192.168.108.157,8.315,1.562
192.168.108.158,8.355,1.558
192.168.108.159,8.052,1.531
192.168.108.16,8.415,1.607
192.168.108.160,8.369,1.572
192.168.108.161,8.466,1.577
192.168.108.162,8.323,1.342
192.168.108.163,8.284,1.578
192.168.108.164,8.489,1.474
192.168.108.165,8.267,1.472
192.168.108.166,8.194,1.407
192.168.108.167,8.483,1.621
192.168.108.168,8.168,1.453
192.168.108.169,8.557,1.479
192.168.108.17,8.458,1.426
192.168.108.170,8.236,1.529
192.168.108.171,8.484,1.690
192.168.108.172,8.410,1.555
192.168.108.173,8.371,1.567
192.168.108.174,8.238,1.576
192.168.108.175,8.180,1.935
192.168.108.176,8.410,1.903
192.168.108.177,8.589,1.810
192.168.108.178,8.550,1.517
192.168.108.179,8.419,1.530
192.168.108.18,8.478,1.452
192.168.108.180,8.338,1.437
192.168.108.181,8.029,2.324
192.168.108.182,8.375,1.415
192.168.108.183,8.450,1.466
192.168.108.184,8.414,1.505
192.168.108.185,8.220,1.611
192.168.108.186,8.316,1.811
192.168.108.187,8.241,1.360
192.168.108.188,8.327,1.398
192.168.108.189,8.251,1.509
192.168.108.19,8.415,1.638
192.168.108.190,8.381,1.553
192.168.108.191,8.354,1.892
192.168.108.192,8.301,1.629
192.168.108.193,8.289,1.510
192.168.108.194,8.396,1.408
192.168.108.195,8.281,1.491
192.168.108.196,8.470,1.514
192.168.108.197,8.447,1.546
192.168.108.198,8.388,1.395
192.168.108.199,8.355,1.705
192.168.108.20,8.063,1.564
192.168.108.200,8.340,1.665
192.168.108.201,8.306,1.562
192.168.108.202,8.421,1.549
192.168.108.203,8.478,1.626
192.168.108.204,8.332,1.609
192.168.108.205,8.510,1.489
192.168.108.206,8.423,1.322
192.168.108.207,8.489,1.798
192.168.108.208,8.316,1.485
192.168.108.209,8.288,1.487
192.168.108.21,8.481,1.369
192.168.108.210,8.444,1.924
192.168.108.22,8.481,1.558
192.168.108.23,8.223,1.364
192.168.108.24,8.463,1.681
192.168.108.25,8.655,1.653
192.168.108.26,8.249,1.440
192.168.108.27,8.193,1.472
192.168.108.28,8.421,1.495
192.168.108.29,8.349,1.362
192.168.108.30,8.195,1.513
192.168.108.31,8.523,1.889
192.168.108.32,8.436,1.575
192.168.108.33,8.397,1.574
192.168.108.34,8.487,1.403
192.168.108.35,8.386,1.411
192.168.108.36,8.501,1.790
192.168.108.37,8.127,1.503
192.168.108.38,8.376,1.711
192.168.108.39,7.752,2.107
192.168.108.40,8.512,1.463
192.168.108.41,8.206,1.556
192.168.108.42,8.287,1.574
192.168.108.43,8.437,1.702
192.168.108.44,7.761,1.544
192.168.108.45,8.418,1.488
192.168.108.46,8.420,1.434
192.168.108.47,8.574,1.524
192.168.108.48,8.386,1.687
192.168.108.49,8.551,1.628
192.168.108.50,8.427,1.378
192.168.108.51,8.364,1.518
192.168.108.52,8.222,1.672
192.168.108.53,8.674,1.536
192.168.108.54,8.526,1.315
192.168.108.55,8.411,1.508
192.168.108.56,8.413,1.380
192.168.108.57,8.453,1.329
192.168.108.58,8.221,1.381
192.168.108.59,8.564,1.886
192.168.108.60,8.304,1.535
192.168.108.61,8.445,1.379
192.168.108.62,8.439,1.495
192.168.108.63,8.397,1.797
192.168.108.64,8.371,1.440
192.168.108.65,8.166,1.469
192.168.108.66,8.270,1.716
192.168.108.67,8.457,1.671
192.168.108.68,8.434,1.742
192.168.108.69,8.248,1.651
192.168.108.70,8.516,1.472
192.168.108.71,8.463,1.627
192.168.108.72,8.410,1.657
192.168.108.73,8.509,1.569
192.168.108.74,8.272,1.505
192.168.108.75,8.279,1.523
192.168.108.76,8.266,1.873
192.168.108.77,8.436,1.511
192.168.108.79,8.296,1.550
192.168.108.80,8.115,1.891
192.168.108.81,8.418,1.512
192.168.108.82,8.284,1.548
192.168.108.83,8.439,1.514
192.168.108.84,8.536,1.768
192.168.108.85,8.342,1.816
192.168.108.86,8.479,1.682
192.168.108.87,8.333,1.528
192.168.108.88,8.207,1.874
192.168.108.89,8.313,1.694
192.168.108.90,8.597,1.563
192.168.108.91,8.564,1.457
192.168.108.92,8.413,1.596
192.168.108.93,8.118,1.995
192.168.108.94,8.423,1.472
192.168.108.95,8.532,1.665
192.168.108.96,8.144,1.444
192.168.108.97,8.358,1.441
192.168.108.98,8.235,1.492
192.168.108.99,8.150,1.900
Overall,8.401,1.554
