src_ip,mean_ratio,std_ratio
192.168.108.100,8.365,1.681
192.168.108.101,8.465,1.467
192.168.108.102,8.423,1.441
192.168.108.103,8.668,1.541
192.168.108.104,8.242,1.495
192.168.108.105,8.220,1.824
192.168.108.106,8.286,1.496
192.168.108.107,8.261,1.765
192.168.108.108,8.313,1.362
192.168.108.109,8.416,1.383
192.168.108.11,8.505,1.544
192.168.108.110,8.193,1.617
192.168.108.111,8.563,1.451
192.168.108.112,8.540,1.562
192.168.108.113,8.188,1.529
192.168.108.114,8.331,1.580
192.168.108.115,8.401,1.418
192.168.108.116,8.322,1.438
192.168.108.117,7.896,2.361
192.168.108.118,8.409,1.515
192.168.108.119,8.397,1.810
192.168.108.12,8.168,1.417
192.168.108.120,8.207,1.269
192.168.108.121,8.360,1.396
192.168.108.122,8.366,1.490
192.168.108.123,8.307,1.556
192.168.108.124,8.366,1.438
192.168.108.125,8.033,2.336
192.168.108.126,8.585,1.653
192.168.108.127,8.256,1.527
192.168.108.128,8.376,1.382
192.168.108.129,8.169,1.484
192.168.108.13,8.324,1.210
192.168.108.130,8.485,1.830
192.168.108.131,8.388,1.529
192.168.108.132,8.008,1.418
192.168.108.133,8.207,1.434
192.168.108.134,8.437,1.485
192.168.108.135,8.322,1.343
192.168.108.136,8.450,1.518
192.168.108.137,8.371,1.639
192.168.108.138,8.454,1.590
192.168.108.139,8.332,1.398
192.168.108.14,8.626,1.549
192.168.108.140,8.462,1.429
192.168.108.141,8.218,1.536
192.168.108.142,8.064,1.843
192.168.108.143,8.376,1.440
192.168.108.144,8.520,1.469
192.168.108.145,8.773,1.563
192.168.108.146,8.405,1.433
192.168.108.147,8.200,1.515
192.168.108.148,8.528,1.502
192.168.108.149,8.330,1.554
192.168.108.15,8.472,1.679
192.168.108.150,8.489,1.890
192.168.108.151,8.245,1.465
192.168.108.152,8.261,1.286
192.168.108.153,8.423,1.385
192.168.108.154,8.512,1.434
192.168.108.155,8.122,1.540
192.168.108.156,8.337,1.489
192.168.108.157,8.701,1.589
192.168.108.158,8.590,1.535
192.168.108.159,8.383,1.456
192.168.108.16,8.425,1.566
192.168.108.160,8.453,1.418
192.168.108.161,8.396,1.350
192.168.108.162,8.465,1.384
192.168.108.163,8.085,2.038
192.168.108.164,8.196,1.386
192.168.108.165,8.457,1.511
192.168.108.166,8.434,1.693
192.168.108.167,8.550,1.376
192.168.108.168,8.231,1.940
192.168.108.169,8.406,1.458
192.168.108.17,8.259,1.440
192.168.108.170,8.262,1.458
192.168.108.171,8.443,1.431
192.168.108.172,8.321,1.369
192.168.108.173,8.433,1.563
192.168.108.174,8.406,1.487
192.168.108.175,8.511,1.700
