src_ip,dst_ip,up_bytes,down_bytes
192.168.108.100,104.17.45.30,96690,765758
192.168.108.100,104.22.47.238,95389,726995
192.168.108.100,104.244.42.193,1204876,10362135
192.168.108.100,104.26.3.6,53409,497031
192.168.108.100,104.26.9.83,231817,1950518
192.168.108.100,104.44.95.40,70554,618266
192.168.108.100,104.47.208.92,42141,316319
192.168.108.100,108.157.98.113,351579,3108260
192.168.108.100,129.146.14.136,52716,444725
192.168.108.100,129.148.202.69,33008,336213
192.168.108.100,129.149.16.238,6815,68609
192.168.108.100,13.104.129.44,93351,832811
192.168.108.100,13.107.237.193,81487,643235
192.168.108.100,13.107.42.10,29132,1193181
192.168.108.100,13.107.42.14,529164,4537300
192.168.108.100,13.107.42.2,76257,2635404
192.168.108.100,13.107.42.48,29785,698380
192.168.108.100,13.107.42.50,42453,1403611
192.168.108.100,13.107.42.54,49095,2221202
192.168.108.100,13.107.42.60,47005,1349639
192.168.108.100,13.107.6.156,60569,508049
192.168.108.100,13.34.92.144,77099,640778
192.168.108.100,134.170.222.120,54426,473738
192.168.108.100,134.170.222.69,83366,730344
192.168.108.100,138.68.37.136,38069,339676
192.168.108.100,142.250.184.143,30108,1086899
192.168.108.100,142.250.184.169,49199,2177675
192.168.108.100,142.250.184.174,25929,789520
192.168.108.100,142.250.184.175,44647,2319901
192.168.108.100,142.250.184.204,22062,750428
192.168.108.100,142.250.184.209,55158,1111808
192.168.108.100,142.250.184.233,66441,2740387
192.168.108.100,142.250.200.68,2052484,17772787
192.168.108.100,146.75.90.137,156783,1373874
192.168.108.100,146.75.90.167,59057,477529
192.168.108.100,147.154.116.225,48326,472095
192.168.108.100,148.69.168.40,733957,6266312
192.168.108.100,15.230.186.28,36538,288069
192.168.108.100,15.230.58.214,103654,913130
192.168.108.100,150.171.23.104,90156,710747
192.168.108.100,150.222.101.216,57252,484912
192.168.108.100,150.222.219.45,4196,31010
192.168.108.100,150.222.224.104,84110,724821
192.168.108.100,150.222.233.189,14474,107894
192.168.108.100,157.240.212.174,1812084,15736594
192.168.108.100,157.240.212.35,2052416,17631005
192.168.108.100,157.240.212.60,485704,4428457
192.168.108.100,157.55.39.83,9840,79756
192.168.108.100,157.55.50.51,163802,1334998
192.168.108.100,159.248.220.64,13370,186328
192.168.108.100,168.61.130.202,6876,59274
192.168.108.100,170.187.131.24,8901,106826
192.168.108.100,172.104.207.129,167332,1318605
192.168.108.100,172.217.17.14,1944279,16424299
192.168.108.100,173.230.148.114,34090,300255
192.168.108.100,176.32.122.241,23834,233379
192.168.108.100,18.154.41.91,178125,1530701
192.168.108.100,18.154.48.124,404191,3124123
192.168.108.100,185.15.58.224,688731,5492891
192.168.108.100,185.199.110.69,33155,395928
192.168.108.100,185.88.181.4,512874,4626806
192.168.108.100,185.88.181.55,411863,3527187
192.168.108.100,186.192.81.5,11696,61219
192.168.108.100,191.238.70.151,20581,171123
192.168.108.100,192.168.108.226,43298,101757
192.168.108.100,192.168.108.234,41616,97780
192.168.108.100,192.168.108.240,6139881,51815358
192.168.108.100,193.126.232.45,440155,3804054
192.168.108.100,193.126.240.146,1116613,9256352
192.168.108.100,193.137.20.123,50667,439514
192.168.108.100,198.211.98.50,49042,453182
192.168.108.100,198.54.117.212,245760,2235840
192.168.108.100,199.30.29.16,13536,149510
192.168.108.100,199.30.29.27,11111,68237
192.168.108.100,20.136.7.114,8797,89590
192.168.108.100,204.79.197.212,568636,4787002
192.168.108.100,205.251.244.34,6899,69745
192.168.108.100,207.46.13.32,7456,48772
192.168.108.100,208.65.152.28,93780,788948
192.168.108.100,208.68.111.56,5424,50871
192.168.108.100,208.68.38.101,22371,168935
192.168.108.100,213.13.146.142,1506569,12299222
192.168.108.100,216.39.138.22,27814,288582
192.168.108.100,216.58.215.131,1747871,14758540
192.168.108.100,23.49.244.54,13030,131382
192.168.108.100,23.97.122.78,32614,277835
192.168.108.100,3.2.36.48,155908,1390906
