src_ip,dst_ip,port,total_time_sec,ratio_down_up_bytes,num_connections,total_up_bytes,total_down_bytes,max_connections_5min,flag_high_connections,country_code,organization
192.168.108.100,142.250.184.175,443,1990.0,51.961,3,44647,2319901,2,False,US,AS15169 GOOGLE
192.168.108.100,13.107.42.54,443,1876.0,45.243,3,49095,2221202,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.100,142.250.184.169,443,1916.0,44.263,3,49199,2177675,1,False,US,AS15169 GOOGLE
192.168.108.101,13.107.42.31,443,2025.0,66.936,3,64635,4326417,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.42.8,443,2472999.0,57.305,6,98321,5634297,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.101,13.107.42.33,443,1701.0,56.506,3,28205,1593764,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.102,13.107.42.37,443,1943.0,88.58,3,47774,4231839,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.102,13.107.42.6,443,2072.0,62.918,3,40086,2522136,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.102,13.107.42.48,443,2077.0,61.038,3,37887,2312541,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.103,13.107.42.62,443,1889.0,60.43,3,64681,3908664,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.103,142.250.184.225,443,2188.0,57.103,3,47109,2690084,2,False,US,AS15169 GOOGLE
192.168.108.103,142.250.184.144,443,1910.0,52.957,3,37288,1974661,2,False,US,AS15169 GOOGLE
192.168.108.104,13.107.42.56,443,417905.0,61.437,6,70193,4312461,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.104,13.107.42.26,443,2079.0,50.261,3,39566,1988619,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.104,13.107.42.9,443,2075.0,46.723,3,36980,1727829,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.105,13.107.42.61,443,2033.0,62.621,3,69405,4346194,2,False,US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
192.168.108.105,142.250.184.204,443,1862.0,62.356,3,69328,4323016,2,False,US,AS15169 GOOGLE
192.168.108.105,142.250.184.242,443,2086.0,55.668,3,32006,1781714,2,False,US,AS15169 GOOGLE
192.168.108.106,142.250.184.163,443,1945.0,64.025,3,41057,2628689,2,False,US,AS15169 GOOGLE
192.168.108.106,142.250.184.157,443,1873.0,60.257,3,36200,2181315,2,False,US,AS15169 GOOGLE
