src_ip,dst_ip,port,total_time_sec,ratio_down_up_bytes,num_connections,total_up_bytes,total_down_bytes,max_connections_5min,flag_high_connections,country_code,organization
192.168.108.100,159.248.220.64,443,0.0,13.936,1,13370,186328,1,False,US,
192.168.108.100,170.187.131.24,443,0.0,12.002,1,8901,106826,1,False,US,AS63949 Akamai Connected Cloud
192.168.108.100,185.199.110.69,443,175.0,11.942,2,33155,395928,1,False,US,AS54113 FASTLY
192.168.108.101,45.79.227.42,443,0.0,15.167,1,16276,246863,1,False,US,AS63949 Akamai Connected Cloud
192.168.108.101,172.232.98.138,443,0.0,11.918,1,6492,77373,1,False,US,AS20940 Akamai International B.V.
192.168.108.101,178.79.150.150,443,0.0,11.544,1,6136,70831,1,False,GB,AS63949 Akamai Connected Cloud
192.168.108.102,45.79.253.205,443,0.0,14.046,1,2214,31098,1,False,US,AS63949 Akamai Connected Cloud
192.168.108.102,172.104.193.81,443,0.0,13.903,1,3147,43753,1,False,US,AS63949 Akamai Connected Cloud
192.168.108.102,143.42.166.132,443,0.0,11.201,1,9350,104734,1,False,US,AS63949 Akamai Connected Cloud
192.168.108.103,52.95.41.38,443,0.0,13.838,1,16653,230440,1,False,US,
192.168.108.103,18.154.41.91,443,0.0,12.747,1,3815,48630,1,False,US,AS16509 AMAZON-02
192.168.108.103,138.197.253.161,443,0.0,12.642,1,12627,159629,1,False,US,AS14061 DIGITALOCEAN-ASN
192.168.108.104,132.145.12.38,443,59.0,11.934,2,20808,248320,2,False,GB,AS31898 ORACLE-BMC-31898
192.168.108.104,52.93.236.122,443,118.0,11.843,2,32148,380743,2,False,US,
192.168.108.104,134.65.49.154,443,0.0,11.71,1,6626,77592,1,False,BR,AS31898 ORACLE-BMC-31898
192.168.108.105,172.67.73.32,443,0.0,12.792,1,6955,88968,1,False,US,AS13335 CLOUDFLARENET
192.168.108.105,134.70.25.115,443,0.0,12.15,1,5369,65232,1,False,US,AS31898 ORACLE-BMC-31898
192.168.108.105,186.192.81.5,443,214.0,10.659,3,50144,534461,2,False,BR,AS28604 Globo Comunicacao e Participacoes SA
192.168.108.106,147.154.57.153,443,0.0,16.299,1,17145,279454,1,False,US,AS31898 ORACLE-BMC-31898
192.168.108.106,137.184.254.157,443,0.0,11.79,1,12783,150711,1,False,US,AS14061 DIGITALOCEAN-ASN
192.168.108.106,137.184.244.244,443,135.0,10.674,3,33459,357126,2,False,US,AS14061 DIGITALOCEAN-ASN
