src_ip,dst_ip,port,total_time_sec,ratio_down_up_bytes,num_connections,total_up_bytes,total_down_bytes,max_connections_5min,flag_high_connections,country_code,organization
192.168.108.100,169.155.150.175,443,150.0,10.822,2,32444,351114,1,False,US,AS31898 ORACLE-BMC-31898
192.168.108.100,130.35.112.194,443,200.0,10.54,4,25188,265476,3,False,GB,AS31898 ORACLE-BMC-31898
192.168.108.100,104.26.9.83,443,317.0,9.922,4,52638,522285,3,False,,AS13335 CLOUDFLARENET
192.168.108.101,18.154.22.25,443,0.0,12.139,1,11797,143203,1,False,US,AS16509 AMAZON-02
192.168.108.101,23.49.244.192,443,0.0,11.783,1,6504,76634,1,False,PT,AS16625 AKAMAI-AS
192.168.108.101,162.250.238.167,443,114.0,11.083,2,52596,582905,1,False,US,
192.168.108.102,129.149.22.31,443,0.0,13.271,1,15929,211389,1,False,GB,AS31898 ORACLE-BMC-31898
192.168.108.102,13.34.28.62,443,64.0,11.182,2,18107,202473,2,False,US,
192.168.108.102,130.35.99.30,443,88.0,10.751,2,19017,204446,2,False,US,AS31898 ORACLE-BMC-31898
192.168.108.103,15.181.244.150,443,0.0,12.152,1,34808,422978,1,False,US,AS16509 AMAZON-02
192.168.108.103,185.199.108.49,443,0.0,11.695,1,11644,136171,1,False,US,AS54113 FASTLY
192.168.108.103,173.230.149.128,443,0.0,11.218,1,11107,124597,1,False,US,AS63949 Akamai Connected Cloud
192.168.108.104,138.1.80.86,443,117.0,12.291,2,21404,263084,1,False,GB,AS31898 ORACLE-BMC-31898
192.168.108.104,63.246.119.219,443,228.0,10.786,3,44336,478206,3,False,US,
192.168.108.104,109.74.206.150,443,126.0,10.531,2,30868,325082,1,False,GB,AS63949 Akamai Connected Cloud
192.168.108.105,146.75.89.140,443,103.0,12.42,2,15106,187621,2,False,PT,AS54113 FASTLY
192.168.108.105,148.69.168.40,443,295177.0,10.78,5,46906,505650,2,False,PT,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.
192.168.108.105,18.154.48.124,443,310716.0,9.546,7,56968,543837,1,False,US,AS16509 AMAZON-02
192.168.108.106,15.230.252.22,443,0.0,14.795,1,8455,125095,1,False,BR,
192.168.108.106,52.95.42.15,443,362.0,10.091,4,54477,549736,2,False,US,
192.168.108.106,172.96.110.138,443,749.0,9.993,9,114426,1143502,4,False,US,AS62785 AMAZON-FC
